,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
152,Andromeda / Heleus Cluster / Tafeno,93.0 AU,511.5 Earth Years,3.074,"47,705 km",,1.79 atm,,,,1,Duiononasa,,,,,,,
153,Milky Way / Vallhallan Threshold / Micah,1.6 AU,2.0 Earth Years,1.024,"59,152 km",10.0 Earth Hours,1.05 atm,,,,51,Dumah,,,,,,,
154,Milky Way / Krogan DMZ / Aralakh,0.83 AU,0.6 Earth Years,1.588,"1,972 km",8.8 Earth Hours,Trace,348 °C ,0.22 g,0.021 Earth Masses,,Durak,,,,,,,
155,,,,,,,,,,,,,,,,,,,
156,Milky Way / Local Cluster / Sol,1 AU,1 Earth Year,1,"6,378 km",23.9 Earth Hours,1 atm,23 °C ,1.0 g,1 Earth Mass,Luna,Earth,Human,11.4 billion,,,,,"250,000"
157,Milky Way / The Phoenix Massing / Typhon,0.2 AU,0.1 Earth Years,0.8,"23,307 km",14.7 Earth Hours,,,,,,Echidna,,,,,,,
158,,,,,,,,,,,,,,,,,,,
159,Milky Way / Exodus Cluster / Utopia,1.85 AU,2.5 Earth Years,1.013,"7,026 km",64.1 Earth Hours,1.45 atm,23 °C ,1.04 g,1.253 Earth Masses,,Eden Prime,Human,3.7 million (2183)4.2 million (2186)(Pop. estimate is pre-invasion),Constant,2152,,,
160,Milky Way / Hades Gamma / Antaeus,3.65 AU,7.8 Earth Years,0.799,"36,826 km",13.7 Earth Hours,,,,,,Edmos,,,,,,,
161,Milky Way / Artemis Tau / Sparta,,2.7 Earth Years,,"5,729 km",50.3 Earth Hours,0.8 atm,−1 °C ,0.87 g,0.697 Earth Masses,,Edolus,,,,,,,
162,Andromeda / Heleus Cluster / Faross,0.3 AU,0.4 Earth Years,0.169,"4,138 km",56 Earth Hours,7.04 atm,-1 °C ,,,,Efaja,,,,,,,
163,Milky Way / Athena Nebula / Orisoni,6.5 AU,16.6 Earth Years,0.997,"69,039 km",19.2 Earth Hours,,,,,>1,Egalic,,,,,,,
164,Milky Way / Pylos Nebula / Zaherin,0.5 AU,0.4 Earth Years,0.781,"6,773 km",63.6 Earth Hours,0.56 atm,115 °C ,0.62 g,0.694 Earth Masses,,Ehstag,,,,,,,
165,Milky Way / Omega Nebula / Amada,5.3 AU,12.2 Earth Years,1,"5,733 km",20.8 Earth Hours,0.84 atm,36 °C ,0.86 g,0.69 Earth Masses,1,Eingana,,,,,,,
166,Milky Way / Arcturus Stream / Arcturus,6.8 AU,3.6 Earth Years,24.262,"44,077 km",10.3 Earth Hours,,,,,,Eirene,,,,,,,
167,Andromeda / Heleus Cluster / Vaalon,11.5 AU,9.2 Earth Years,17.969,"5,635 km",,109.03 atm,474 °C ,,,,Ejoda,,,,,,,
168,Milky Way / The Phoenix Massing / Salahiel,1.6 AU,2.3 Earth Years,0.774,"10,206 km",36.4 Earth Hours,1.4 atm,−37 °C (equator mean temperature 15 °C),4.1 g,10.42 Earth Masses,,Ekuna,Elcor,"221,256,200",Bel Shadii (elcor: Durawunafon),2103,,,
169,Milky Way / Caleston Rift / Balor,5.5 AU,23.6 Earth Years,0.299,"1,812 km",57.3 Earth Hours,43.34 atm,−72 °C ,0.1 g,0.008 Earth Masses,,Elatha,,,,,,,
170,Milky Way / Attican Beta / Hercules,12.6 AU,34.4 Earth Years,1.69,"8,864 km",35.6 Earth Hours,2.1 atm,13 °C ,1.2 g,2.301 Earth Masses,1,Eletania,,,,,,,
171,Milky Way / Vallhallan Threshold / Micah,0.6 AU,0.5 Earth Years,0.864,"38,119 km",11.8 Earth Hours,0.97 atm,,,,,Elohi,,,,,,,
172,Milky Way / Petra Nebula / Vetus,1.3 AU,1.5 Earth Years,0.976,"5,723 km",27.9 Earth Hours,1.3 atm,8 °C ,0.695 g,0.555 Earth Masses,,Elysium,Human,8.3 million,Illyria,2160 CE,"223,500",,
173,,,,,,,,,,,,,,,,,,,
174,Andromeda / Heleus Cluster / Pytheas,1.3 AU,1.6 Earth Years,0.858,"2,952 km",,1.98 atm,19 °C ,,,1,Eos,Andromeda Initiative,,Prodromos,2819,,,
175,Milky Way / Crescent Nebula / Zelene,1.56 AU,2.22 Earth Years,0.77,"8,031 km",70 Earth Hours,0.98 atm,−41 °C (12 equator),1.0 g,1.574 Earth Masses,,Epho,,,,,,,
176,Milky Way / Hourglass Nebula / Osun,0.95 AU,0.9 Earth Years,1.058,"6,711 km",32.4 Earth Hours,1.1 atm,32 °C ,1.1 g,1.209 Earth Masses,,Erinle,Salarian,,,,,,
177,Milky Way / Minos Wasteland / Arrae,0.8 AU,0.7 Earth Years,1.045,"7,095 km",37.6 Earth Hours,Trace,127 °C ,1.33 g,1.634 Earth Masses,,Erros,,,,,,,
178,Milky Way / Kite's Nest / Vular,0.9 AU,1 Earth Year,0.729,"4,187 km",59 Earth Hours,1.37 atm,41 °C ,0.76 g,0.325 Earth Masses,,Erszbat,Batarian,,,,,,
179,Milky Way / Apien Crest / Trebia,4.8 AU,10.4 Earth Years,1.022,"73,976 km",12.3 Earth Years,,,,,,Essenus,,,,,,,
180,Milky Way / Hawking Eta / Schwarzschild,1.35 AU,1.6 Earth Years,0.961,"9,577 km",51.6 Earth Hours,0.2 atm,−49.6 °C ,3.4 g,7.609 Earth Masses,,Etamis,,,,,,,
181,Milky Way / Arcturus Stream / Arcturus,13.4 AU,10.0 Earth Years,24.061,"4,758 km",63.6 Earth Hours,Trace,−170 °C ,0.36 g,0.199 Earth Masses,,Eunomia,,,,,,,
182,Milky Way / Crescent Nebula / Lusarn,1.04 AU,0.3 Earth Years,12.498,"7,740 km",24.2 Earth Hours,0.98 atm,415 °C ,1.0 g,1.462 Earth Masses,,Euntanta,,230,,,,,
183,Andromeda / Heleus Cluster / Layan,2.4 AU,4.3 Earth Years,0.748,"7,858 km",,16.16 atm,60 °C ,,,,Everodaan,,,,,,,
184,Milky Way / Kite's Nest / Untrel,1.2 AU,1 Earth Year,1.728,"6,372 km",30 Earth Hours,78.43 atm,"1,144 °C ",1.33 g,1.318 Earth Masses,,Ezka,,,,,,,
185,Milky Way / Gemini Sigma / Han,23.2 AU,112.1 Earth Years,0.994,"66,014 km",8.4 Earth Hours,,,,,>12,Farcrothu,,,,,,,
186,Milky Way / Artemis Tau / Macedon,15.46 AU,111.7 Earth Years,0.296,"40,394 km",19.1 Earth Hours,,,,,,Fargeluse,,,,,,,
187,Milky Way / Hades Gamma / Cacus,20.2 AU,69.8 Earth Years,1.692,"11,129 km",69.6 Earth Hours,0.00 atm,−144 °C ,,,> 2,Faringor,,,,,,,
188,Milky Way / Maroon Sea / Caspian,,352.7 Earth Years,,"8,968 km",67.8 Earth Hours,0.00 atm,-98 °C ,1.2 g,2.355 Earth Masses,,Farnuri,,,,,,,
189,Andromeda / Heleus Cluster / Faroang,3.4 AU,4.8 Earth Years,1.706,"7,861 km",,0.17 atm,45 °C ,,,,Farrum,,,,,,,
190,Milky Way / Styx Theta / Acheron,0.3175 AU,0.2 Earth Years,0.8,"6,506 km",0.2 Earth Years,0.69 atm,239 °C ,0.8 g,0.826 Earth Masses,,Farthorl,,,,,,,
191,,,,,,,,,,,,,,,,,,,
192,Andromeda / Heleus Cluster / Zheng He,1.3 AU,0.8 Earth Years,3.433,"9,317 km",,6.07 atm,"1,303 °C ",3.2 g,6.778 Earth Masses,,Fei Xin,,,,,,,
193,Andromeda / Heleus Cluster / Shojaon,12.3 AU,24.6 Earth Years,3.075,"9,288 km",,0.89 atm,237 °C ,,,,Fen Odam,,,,,,,
194,Andromeda / Heleus Cluster / Vaotessa,0.2 AU,0.1 Earth Years,0.8,"11,201 km",,0.12 atm,305 °C ,,,,Fen Sayat,,,,,,,
195,Milky Way / Arcturus Stream / Euler,0.6 AU,0.4 Earth Years,1.35,"4,194 km",60.0 Earth Hours,8.09 atm,358 °C ,0.63 g,0.27 Earth Masses,>1,Fermi,,,,,,,
196,,,,,,,,,,,,,,,,,,,
197,Milky Way / Attican Beta / Theseus,2.15 AU,3.2 Earth Years,0.971,"8,366 km",30.3 Earth Hours,5.44 atm,10 °C ,1.1 g,1.879 Earth Masses,"Orcan, Vardet",Feros,Human,300,ExoGeni Building,2178,,,
198,,,,,,,,,,,,,,,,,,,
199,Andromeda / Heleus Cluster / Onaon,20.5 AU,103.8 Earth Years,0.8,"55,380 km",,0.67 atm,,,,1,Fetvun,,,,,,,
200,Milky Way / Serpent Nebula / Boltzmann,15.2 AU,59.4 Earth Years,0.995,"40,196 km",16.9 Earth Hours,,,,,24,Feynman,,,,,,,
201,Milky Way / Apien Crest / Castellus,2.7 AU,4.4 Earth Years,1.017,"9,735 km",68.6 Earth Hours,Trace,−78 °C ,2.1 g,4.856 Earth Masses,,Fiax,,,,,,,
202,Milky Way / Eagle Nebula / Relic,2.1 AU,3.4 Earth Years,0.801,"53,826 km",10.9 Earth Hours,,,,,,First Land,Hanar,,,,,,
203,Milky Way / Eagle Nebula / Relic,1.2 AU,1.5 Earth Years,0.768,"9,260 km",41.9 Earth Hours,Trace,−47 °C ,3.1 g,6.486 Earth Masses,,Fitful Current,,,,,,,
204,Milky Way / Eagle Nebula / Malgus,1.2 AU,1.5 Earth Years,0.768,"5,623 km",48.2 Earth Hours,2.49 atm,16 °C ,0.7 g,0.54 Earth Masses,,Flett,,,,,,,
205,,,,,,,,,,,,,,,,,,,
206,Milky Way / Crescent Nebula / Zelene,2.96 AU,5.7 Earth Years,0.798,"63,539 km",8.9 Earth Hours,,,,,,Gaelon,,,,,,,
207,Milky Way / Nubian Expanse / Dakka,5.19 AU,11.8 Earth Years,1.004,"50,875 km",65.6 Earth Hours,,,,,6,Gamayun,,,,,,,
208,Milky Way / The Shrike Abyssal / Thal,0.0172 AU,17.52 Earth Hours,,"11,703 km",17.52 Earth Hours,0.67 atm,"1,284 °C ",1.56 g,5.213 Earth Masses,,Garan,,,,,,,
209,,,,,,,,,,,,,,,,,,,
210,Andromeda / Heleus Cluster / Togessan,2.1 AU,3.1 Earth Years,0.964,"6,594 km",,22.55 atm,67 °C ,,,,Garef,,,,,,,
211,Milky Way / Vallhallan Threshold / Paz,4.0 AU,6.1 Earth Years,1.72,"6,200 km",27.0 Earth Hours,1.2 atm,−30 °C (5 at the equator),1.0 g,0.938 Earth Masses,>1,Garvug,Krogan,,Dhazil,354 CE,,,
212,,,,,,,,,,,,,,,,,,,
213,Milky Way / Hades Nexus / Sheol,0.83 AU,0.8 Earth Years,0.893,"2,379 km",0.8 Earth Years,Trace,35 °C (habitable zone) 108 °C/−120 °C (uninhabitable),0.1 g,0.014 Earth Masses,,Gei Hinnom,Human,"11,503",,,,,
214,Milky Way / Minos Wasteland / Arrae,1.6 AU,2.0 Earth Years,1.024,"3,842 km",19.4 Earth Hours,0.40 atm,4 °C ,0.774 g,0.279 Earth Masses,,Gellix,Turian,54000,Anapondus,658 CE (krogan)801 CE (turian),,,
215,Andromeda / Heleus Cluster / Nalesh,3.5 AU,5.0 Earth Years,1.715,"9,193 km",,0.05 atm,26 °C ,,,1,Gesaimo,,,,,,,
216,Andromeda / Heleus Cluster / Sabeng,0.1 AU,0.1 Earth Years,0.1,"4,102 km",,1.76 atm,255 °C ,,,,Gestiir,,,,,,,
217,Milky Way / Pylos Nebula / Kriseroi,0.64 AU,0.9 Earth Years,0.324,"33,036 km",9.9 Earth Hours,,,,,,Geus,,,,,,,
218,Milky Way / Petra Nebula / Vetus,8.7 AU,25.7 Earth Years,0.997,"2,102 km",24.7 Earth Hours,Trace,−164 °C ,0.315 g,0.034 Earth Masses,,Gilead,Human,25,Ephesus,2180 CE,,,
219,,,,,,,,,,,,,,,,,,,
220,Milky Way / Rosetta Nebula / Enoch,4.8 AU,10.5 Earth Years,1.003,"74,985 km",14.1 Earth Hours,,,,,,Goliath,,,,,,,
221,Andromeda / Heleus Cluster / Zheng He,29.2 AU,89.7 Earth Years,3.094,"2,720 km",,71.69 atm,"1,855 °C ",,,,Gong Zhen,,,,,,,
222,Milky Way / Aethon Cluster / Nura,13.4 AU,49.2 Earth Years,0.994,"67,733 km",13.0 Earth Hours,,,,,,Gorgun,,,,,,,
223,Milky Way / Far Rim / Dholen,1.5 AU,1.8 Earth Years,1.042,"1,056 km",66.4 Earth Hours,99.64 atm,590 °C ,0.1 g,0.003 Earth Masses,,Gotha,,,,,,,
224,Andromeda / Heleus Cluster / Ratul,278.5 AU,"1,100.9 Earth Years",17.823,"10,782 km",,0.1 atm,-2 °C ,,,,Govok's Folly,,,,,,,
225,Milky Way / Eagle Nebula / Imir,10.0 AU,31.7 Earth Years,0.995,"5,240 km",69.9 Earth Hours,Trace,−170 °C ,0.7 g,0.469 Earth Masses,,Gregas,,,,,,,
226,Milky Way / Hades Gamma / Dis,10.0 AU,35.4 Earth Years,0.798,"3,691 km",61.7 Earth Hours,0.27 atm,-84 °C ,0.28 g,0.093 Earth Masses,,Gremar,,,,,,,
227,Andromeda / Heleus Cluster / Faross,0.7 AU,1.1 Earth Years,0.283,"4,138 km",,89.22 atm,101 °C ,,,,Grill,,,,,,,
228,Andromeda / Heleus Cluster / Zaubray,10.7 AU,8.2 Earth Years,18.219,"4,763 km",,0.15 atm,"1,900 °C ",,,,Grogorna,,,,,,,
229,Milky Way / Voyager Cluster / Columbia,,115.6 Earth Years,,"4,911 km",30.3 Earth Hours,0.13 atm,-218 °C ,0.28 g,0.165 Earth Masses,,Gromar,,,,,,,
230,Milky Way / Styx Theta / Acheron,11.13 AU,41.5 Earth Years,0.801,"5,198 km",28.9 Earth Hours,0.53 atm,-175 °C ,0.6 g,0.396 Earth Masses,,Grosalgen,,,,,,,
231,Andromeda / Heleus Cluster / Jirayder,2.2 AU,5.9 Earth Years,0.306,"7,637 km",,1.29 atm,1 °C ,,,,H-019,,,,,,,
232,Andromeda / Heleus Cluster / Faross,0.2 AU,0.2 Earth Years,0.2,"7,918 km",,0.07 atm,33 °C ,,,,H-028,,,,,,,
233,Andromeda / Heleus Cluster / Pytheas,0.6 AU,11 Earth Years,0.002,"7,968 km",,23.65 atm,198 °C ,,,,H-060,,,,,,,
234,Andromeda / Heleus Cluster / Skeldah,3.5 AU,89.3 Earth Years,0.005,"6,669 km",,0.02 atm,-207 °C ,,,,H-061,,,,,,,
235,Andromeda / Heleus Cluster / Civki,1.4 AU,1.3 Earth Years,1.624,"5,678 km",,0.04 atm,195 °C ,,,,H-065,,,,,,,
236,Andromeda / Heleus Cluster / Kindrax,0.7 AU,0.6 Earth Years,0.953,"6,282 km",,44.86 atm,523 °C ,,,,H-073,,,,,,,
237,Andromeda / Heleus Cluster / Rohvir,0.5 AU,0.6 Earth Years,0.347,"6,918 km",,32.53 atm,45 °C ,,,,H-080,,,,,,,
238,Andromeda / Heleus Cluster / Meos,53.8,93.2,,"8,280 km",,1.44 atm,496 °C ,,,,H-088,,,,,,,
239,Andromeda / Heleus Cluster / Jirayder,0.6 AU,0.9 Earth Years,0.267,"4,301 km",,0.09 atm,-139 °C ,,,,H-097,,,,,,,
240,Andromeda / Heleus Cluster / Sephesa,1.1 AU,2.2 Earth Years,0.275,"9,178 km",,15.19 atm,-97 °C ,,,,H-119,,,,,,,
241,Andromeda / Heleus Cluster / Solminae,3.9 AU,13.9 Earth Years,0.307,"4,698 km",,0.00 atm,-211 °C ,,,,H-148,,,,,,,
242,Andromeda / Heleus Cluster / Rohvir,1.1 AU,2.1 Earth Years,0.302,"4,429 km",,59.53 atm,20 °C ,,,,H-162,,,,,,,
243,Andromeda / Heleus Cluster / Rohvir,1.7 AU,4.1 Earth Years,0.292,"11,141 km",,64.73 atm,4 °C ,,,,H-169,,,,,,,
244,Andromeda / Heleus Cluster / Vaar,17.4 AU,41.3 Earth Years,3.089,"11,407 km",,0.00 atm,-79 °C ,,,,H-171,,,,,,,
245,Andromeda / Heleus Cluster / Vaar,28.2 AU,85.3 Earth Years,3.082,"11,407 km",,0.01 atm,-142 °C ,,,,H-173,,,,,,,
246,Andromeda / Heleus Cluster / Vaar,144.1 AU,986.9 Earth Years,3.072,"7,141 km",,0.01 atm,-197 °C ,,,,H-174,,,,,,,
247,Andromeda / Heleus Cluster / Kindrax,2.8 AU,4.6 Earth Years,1.037,"9,828 km",,0.00 atm,-82 °C ,,,1,H-202,,,,,,,
248,Andromeda / Heleus Cluster / Anasa,6.5 AU,18.6 Earth Years,0.794,"1,645 km",,0.01 atm,-177 °C ,,,,H-205,,,,,,,
249,Andromeda / Heleus Cluster / Pytheas,27.8 AU,164.6 Earth Years,0.793,"7,185 km",,11.13 atm,-77 °C ,,,1,H-276,,,,,,,
250,Andromeda / Heleus Cluster / Civki,4.5 AU,7.2 Earth Years,1.758,"68,483 km",,1.35 atm,,,,,H-309,,,,,,,
251,Andromeda / Heleus Cluster / Zaubray,43.9 AU,68.8 Earth Years,17.874,"5,692 km",,0.00 atm,815 °C ,,,,H-315,,,,,,,
252,Andromeda / Heleus Cluster / Solminae,0.7 AU,1.0 Earth Year,0.343,"6,032 km",,21.67 atm,-16 °C ,,,,H-323,,,,,,,
253,Andromeda / Heleus Cluster / Skeldah,4.4 AU,16.9 Earth Years,0.298,"4,984 km",,0.22 atm,-241 °C ,,,,H-329,,,,,,,
254,Andromeda / Heleus Cluster / Anasa,0.4 AU,0.3 Earth Years,0.711,"9,752 km",,0.0 atm,122 °C ,,,,H-444,,,,,,,
255,Andromeda / Heleus Cluster / Pfeiffer,40.1 AU,254.4 Earth Years,0.996,"5,103 km",,0.00 atm,-215 °C ,,,,H-461,,,,,,,
256,Andromeda / Heleus Cluster / Pfeiffer,9.7 AU,30.4 Earth Years,0.988,"6,843 km",,3.21 atm,117 °C ,,,,H-479,,,,,,,
257,Andromeda / Heleus Cluster / Pfeiffer,1.7 AU,1.7 Earth Years,1.7,"8,238 km",,0.72 atm,152 °C ,,,,H-480,,,,,,,
258,Andromeda / Heleus Cluster / Ratul,101.3 AU,241.3 Earth Years,17.853,"54,173 km",,1.74 atm,,,,1,H-494,,,,,,,
259,Andromeda / Heleus Cluster / Dar'hegah,0.8 AU,1.3 Earth Years,0.303,"6,636 km",,21.39 atm,-27 °C ,,,,H-505,,,,,,,
260,Andromeda / Heleus Cluster / Tecunis,59.9 AU,264.3 Earth Years,3.077,"6,314 km",,4.31 atm,336 °C ,,,,H-523,,,,,,,
261,Andromeda / Heleus Cluster / Zheng He,3.2 AU,3.2 Earth Years,3.2,"8,920 km",,0.12 atm,426 °C ,,,,H-599,,,,,,,
262,Andromeda / Heleus Cluster / Eriksson,2.3 AU,3.1 Earth Years,1.266,"4,912 km",,2.3 atm,17 °C ,,,2,Habitat 7,,,,,,,
263,Milky Way / Far Rim / Dholen,6.3 AU,15.8 Earth Years,1.002,"6,721 km",18.5 Earth Hours,,44 °C ,1.2 g,1.323 Earth Masses,,Haestrom,,,,,,,
264,Milky Way / Hourglass Nebula / Sowilo,0.95 AU,1.0 Earth Year,0.857,"6,309 km",98.3 Earth Days,0.83 atm,72 °C (day) −64 °C (night),0.69 g,0.67 Earth Masses,,Hagalaz,,,,,,,
265,Milky Way / Annos Basin / Pranas,3.6 AU,6.8 Earth Years,1.009,"54,743 km",16.8 Earth Hours,,,,,>16,Halegeuse,Salarian,"129,000",Aifa,560 BCE,,,
266,Milky Way / Silean Nebula / Kypladon,0.5 AU,0.4 Earth Years,0.781,"11,477 km",46.4 Earth Hours,72.52 atm,490 °C ,2.36 g,7.585 Earth Masses,,Hanalei,,,,,,,
267,Milky Way / Perseus Veil / Tikkun,7.8 AU,23 Earth Years,0.897,"17,918 km",11.6 Earth Hours,,,,,,Haza,,,,,,,
268,Milky Way / Hawking Eta / Chandrasekhar,1.35 AU,2.9 Earth Years,0.293,"36,257 km",17.1 Earth Hours,,,,,,Hebat,,,,,,,
269,Andromeda / Heleus Cluster / Eriksson,6.5 AU,16.4 Earth Years,1.021,"2,004 km",,7.50 atm,-169 °C ,,,,Helluland,,,,,,,
270,Milky Way / Crescent Nebula / Zelene,1.2 AU,1.5 Earth Years,0.768,"5,522 km",44.4 Earth Hours,0.84 atm,−15 °C ,0.87 g,0.647 Earth Masses,,Helyme,,,,,,,
271,Milky Way / Ismar Frontier / Elysta,1.82 AU,2.7 Earth Years,0.827,"34,035 km",13.1 Earth Hours,,,,,>1,Hesano,,,,,,,
272,Milky Way / The Shrike Abyssal / Kyzil,0.75 AU,0.72 Earth Years,0.814,"3,902 km",44.9 Earth Hours,0.27 atm,32 °C ,0.695 g,0.258 Earth Masses,,Heshtok,Vorcha,Lack of census data spreads estimates from 6.0-9.3 billion (pre-invasion),Hatash (disputed),,,,
273,Milky Way / Kite's Nest / Indris,5.1 AU,12.9 Earth Years,0.797,"58,278 km",16.9 Earth Hours,,,,,,Hiba,,,,,,,
274,Andromeda / Heleus Cluster / Valay,0.5 AU,0.3 Earth Years,1.389,"3,256 km",,0.00 atm,518 °C ,,,,Hipaal,,,,,,,
275,Milky Way / Ismar Frontier / Faia,6.3 AU,15.8 Earth Years,1.002,"24,984 km",14.3 Earth Hours,,,,,29,Hito,,953000,None; largest port is Shol Prime,,,,
276,,,,,,,,,,,,,,,,,,,
277,Milky Way / Shadow Sea / Iera,2.1 AU,3.0 Earth Years,1.029,"5,402 km",37.8 Earth Hours,1.68 atm,13 °C ,0.7 g,0.498 Earth Masses,,Horizon,Human,"654,390 (2185)Unknown, est. 800,000 - 1.5 million (2186)",Discovery,2168 CE,,,
278,Andromeda / Heleus Cluster / Meos,738.3,"4,765.7",,"47,469 km",,0.52 atm,,,,,Huiton,,,,,,,
279,Milky Way / Hades Gamma / Antaeus,18.68 AU,90.5 Earth Years,0.796,"3,686 km",48.2 Earth Hours,0.2 atm,-202 °C ,0.22 g,0.073 Earth Masses,,Hunidor,,,,,,,
280,Milky Way / Gemini Sigma / Han,10.025 AU,31.8 Earth Years,0.996,"73,733 km",16.7 Earth Hours,,,,,,Huningto,,,,,,,
281,Milky Way / Armstrong Nebula / Tereshkova,,46.2 Earth Years,,"11,496 km",18.6 Earth Hours,,,,,,Hunsalra,,,,,,,
282,Andromeda / Heleus Cluster / Ratul,78 AU,162.9 Earth Years,17.883,"6,416 km",,0.11 atm,810 °C ,,,,Hybaro,,,,,,,
283,Milky Way / Silean Nebula / Nahuala,0.8 AU,1.1 Earth Years,0.423,"11,245 km",19.2 Earth Hours,1.35 atm,1 °C ,1.39 g,4.289 Earth Masses,,Hyetiana,Asari,119 million(Pop. estimate is pre-invasion),Port Lerama,735 CE,,,
284,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,
286,Andromeda / Heleus Cluster / Joba,1.5 AU,2.1 Earth Years,0.765,"45,804 km",,0.88 atm,,,,1,Ihaafor,,,,,,,
287,Milky Way / Kite's Nest / Harsa,11.3 AU,38.1 Earth Years,0.994,"2,179 km",42.9 Earth Hours,Trace,-176 °C ,0.06 g,0.007 Earth Masses,,Ilem,,,,,,,
288,Milky Way / Maroon Sea / Matano,,74.1 Earth Years,,"72,820 km",15.7 Earth Hours,,,,,> 120,Illapa,,,,,,,
289,,,,,,,,,,,,,,,,,,,
290,Milky Way / Crescent Nebula / Tasale,1.3 AU,1.5 Earth Years,0.976,"7,431 km",25 Earth Hours,1.15 atm,63 °C ,1.2 g,1.617 Earth Masses,,Illium,Asari,"84,900,000 (2185)84,950,000 (2186)",Nos Astra,1617,,,"80,300 (2185)80,500 (2186) (All pop. estimates are pre-invasion)"
291,Milky Way / Athena Nebula / Ialessa,0.5 AU,0.4 Earth Years,0.781,"6,528 km",22.5 Earth Hours,Trace,183 °C ,0.83 g,0.863 Earth Masses,,Ilmnos,,,,,,,
292,,,,,,,,,,,,,,,,,,,
293,Milky Way / Pangaea Expanse / Refuge,,261 Earth Days,,"8,607 km",54.5 Earth Hours,11.26 atm,38 °C ,1.17 g,2.115 Earth Masses,,Ilos,,,,,,,
294,Milky Way / Ismar Frontier / Faia,0.6 AU,0.8 Earth Years,0.338,"2,370 km",62.1 Earth Hours,Trace,108 °C ,0.24 g,0.033 Earth Masses,,Imaen,,,,,,,
295,Milky Way / Styx Theta / Acheron,22.2 AU,117.7 Earth Years,0.79,"11,621 km",56.4 Earth Hours,0.88 atm,-185 °C ,0.9 g,2.966 Earth Masses,,Imaneya,,,,,,,
296,Milky Way / Omega Nebula / Sahrabarik,3.4 AU,11.5 Earth Years,0.297,"53,491 km",18.7 Earth Hours,,,,,,Imorkan,,,,,,,
297,Milky Way / Apien Crest / Trebia,2.4 AU,3.7 Earth Years,1.01,"1,676 km",32.6 Earth Hours,24.28 atm,223 °C ,0.1 g,0.007 Earth Masses,,Impera,,,,,,,
298,Andromeda / Heleus Cluster / Ratul,34.8 AU,48.5 Earth Years,17.917,"10,403 km",,0.02 atm,955 °C ,,,,Insaaron,,,,,,,
299,Milky Way / Argos Rho / Phoenix,15.68 AU,47.8 Earth Years,1.687,"5,897 km",27.6 Earth Hours,0.95 atm,46 °C ,0.8 g,0.679 Earth Masses,,Intai'sei,Human,150000,Thoreau Mesa,2166 CE,,,
300,Milky Way / Maroon Sea / Matano,,0.6 Earth Years,,"9,032 km",0.6 Earth Years,0.56 atm,157 °C ,0.99 g,1.971 Earth Masses,,Inti,,,,,,,
301,Milky Way / Minos Wasteland / Caestus,1.3 AU,1.5 Earth Years,0.976,"7,260 km",31.6 Earth Hours,1.15 atm,30 °C ,1.5 g,1.929 Earth Masses,,Invictus,Turian,"320,535,000 (est. 640,000,000 with illegals)",Shastinasio,1939,,,
302,Milky Way / Apien Crest / Castellus,10.2 AU,32.7 Earth Years,0.992,"53,884 km",12.8 Earth Hours,,,,,>1,Iritum,Turian,,,,,,
303,Milky Way / Aethon Cluster / Aru,1.3 AU,1.5 Earth Years,0.976,"11,525 km",36.2 Earth Hours,60.56 atm,9 °C ,1.5 g,4.861 Earth Masses,,Irune,Volus,8.8 billion(Pop. estimates are pre-invasion),Lenos,,,,
304,Milky Way / Hourglass Nebula / Sowilo,5.4 AU,12.6 Earth Years,0.992,"7,219 km",66.5 Earth Hours,Trace,-135 °C ,1.5 g,1.907 Earth Masses,,Isa,,,,,,,
305,Milky Way / Pylos Nebula / Nariph,0.5 AU,0.6 Earth Years,0.347,"64,005 km",17.7 Earth Hours,,,,,,Isale,,,,,,,
306,Andromeda / Heleus Cluster / Bosavay,57.2 AU,102.5 Earth Years,17.813,"2,373 km",,0.05 atm,810 °C ,,,,Ishang,,,,,,,
307,Milky Way / The Phoenix Massing / Tassrah,3.8 AU,5.7 Earth Years,1.689,"22,769 km",14.0 Earth Hours,,,,,,Ishassara,,,,,,,
308,Milky Way / Eagle Nebula / Relic,3.9 AU,7.7 Earth Years,1,"73,088 km",17.0 Earth Hours,,,,,,Island Wind,,,,,,,
309,Milky Way / Nimbus Cluster / Kallini,0.5 AU,0.3 Earth Years,1.389,"10,436 km",61 Earth Hours,2.17 atm,566 °C ,0.79 g,2.099 Earth Masses,,Ithrone,,,,,,,
310,Milky Way / Aethon Cluster / Aru,0.6 AU,0.4 Earth Years,1.35,"10,792 km",35.3 Earth Hours,18.46 atm,416 °C ,1.04 g,2.955 Earth Masses,,Jak Ser,,,,,,,
311,Milky Way / Athena Nebula / Parnitha,6.6 AU,17.0 Earth Years,0.995,"54,704 km",8.8 Earth Hours,,,,,,Janiri,,,,,,,
312,Milky Way / Sentry Omega / Hoc,,1.3 Earth Years,,"63,169 km",1.3 Earth Years,,,,,,Jarfor,,,,,,,
313,Milky Way / Hades Gamma / Dis,1.85 AU,2.8 Earth Years,0.808,"1,410 km",2.8 Earth Years,0.00 atm,82 °C ,0.17 g,0.008 Earth Masses,,Jartar,,,,,,,
